RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
7015,Flow Aggregation for the IP Flow Information Export (IPFIX) Protocol,"B. Trammell, A. Wagner, B. Claise",September 2013,PROPOSED STANDARD,IETF,ops,ipfix
7231,Hypertext Transfer Protocol (HTTP/1.1): Semantics and Content,"R. Fielding, J. Reschke",June 2014,PROPOSED STANDARD,IETF,app,httpbis
7378,Trustworthy Location,"H. Tschofenig, H. Schulzrinne, B. Aboba",December 2014,INFORMATIONAL,IETF,rai,ecrit
7500,Principles for Operation of Internet Assigned Numbers Authority (IANA) Registries,"R. Housley, O. Kolkman",April 2015,INFORMATIONAL,IAB,,
7704,An IETF with Much Diversity and Professional Conduct,"D. Crocker, N. Clark",November 2015,INFORMATIONAL,INDEPENDENT,,
7906,NSA\'s Cryptographic Message Syntax (CMS) Key Management Attributes,"P. Timmel, R. Housley, S. Turner",June 2016,INFORMATIONAL,INDEPENDENT,,
7979,Response to the IANA Stewardship Transition Coordination Group (ICG) Request for Proposals on the IANA Protocol Parameters Registries,"E. Lear, R. Housley",August 2016,INFORMATIONAL,IETF,gen,ianaplan
8126,Guidelines for Writing an IANA Considerations Section in RFCs,"M. Cotton, B. Leiba, T. Narten",June 2017,BEST CURRENT PRACTICE,IETF,,NON WORKING GROUP
8224,Authenticated Identity Management in the Session Initiation Protocol (SIP),"J. Peterson, C. Jennings, E. Rescorla, C. Wendt",February 2018,PROPOSED STANDARD,IETF,art,stir
8280,Research into Human Rights Protocol Considerations,"N. ten Oever, C. Cath",October 2017,INFORMATIONAL,IRTF,,
8324,"DNS Privacy, Authorization, Special Uses, Encoding, Characters, Matching, and Root Structure: Time for Another Look?",J. Klensin,February 2018,INFORMATIONAL,INDEPENDENT,,
8576,Internet of Things (IoT) Security: State of the Art and Challenges,"O. Garcia-Morchon, S. Kumar, M. Sethi",April 2019,INFORMATIONAL,IRTF,,
8711,"Structure of the IETF Administrative Support Activity, Version 2.0","B. Haberman, J. Hall, J. Livingood",February 2020,BEST CURRENT PRACTICE,IETF,gen,iasa2
8720,Principles for Operation of Internet Assigned Numbers Authority (IANA) Registries,"R. Housley, O. Kolkman",February 2020,INFORMATIONAL,IAB,,
8728,RFC Editor Model (Version 2),"O. Kolkman, J. Halpern, R. Hinden",February 2020,INFORMATIONAL,IAB,,
8729,The RFC Series and RFC Editor,"R. Housley, L. Daigle",February 2020,INFORMATIONAL,IAB,,
8753,Internationalized Domain Names for Applications (IDNA) Review for New Unicode Versions,"J. Klensin, P. F\xc3\xa4ltstr\xc3\xb6m",April 2020,PROPOSED STANDARD,IETF,,NON WORKING GROUP
8802,The Quality for Service (Q4S) Protocol,"J.J. Aranda, M. Cortes, J. Salvach\xc3\xbaa, M. Narganes, I. Mart\xc3\xadnez-Sarriegui",July 2020,INFORMATIONAL,INDEPENDENT,,
8962,Establishing the Protocol Police,"G. Grover, N. ten Oever, C. Cath, S. Sahib",1 April 2021,INFORMATIONAL,INDEPENDENT,,
