Author,RFC_Match_Count
A. Hameed,2
B. Hirschman,3
B. Lim,2
B. Patil,7
E. Campbell,2
E. Jaques,2
G. Dommety,7
H. Koo,2
H. Shiino,2
M. Lipford,2
M. Munson,2
P. McCann,4
P. Walsh,2
R. Hsu,2
S. Baba,2
S. Manning,3
S. Sivalingham,2
X. Chen,2
Y. Xu,2
G. Huston,2
B. Davie,2
E. Felstaine,1
M. Speer,1
P. Ford,1
Y. Bernet,2
L. Shiota,1
D. Mitzel,1
A. Demirtjis,1
B. Beser,1
G. Stump,1
J. Privat,1
R. Droms,5
R. Vyaghrapuri,1
Y. Gu,1
B. Callaghan,3
C. Beame,2
D. Noveck,5
M. Eisler,3
R. Thurlow,2
S. Shepler,3
H. Balakrishnan,1
M. Allman,3
S. Floyd,5
A. Durand,3
D. Lento,1
I. Guardini,2
P. Fasano,1
A. Westerinen,2
E. Ellesson,1
J. Boyer,1
F. Reichmeyer,1
K. Chan,6
S. Gai,1
D. Grabelsky,1
J. Lo,1
K. Taniguchi,1
M. Borella,1
B. Wolff,1
D. Nelson,9
M. St.Johns,1
M. Stevens,1
S. Barkley,1
C. Lo,1
T. Ayaki,1
T. Seki,1
J. Carlson,2
M. Verma,1
R. Verma,1
B. Quinn,2
K. Almeroth,1
A. Huynh,1
J. Perry,1
J. Schnizlein,1
M. Scherling,1
S. Brim,1
B. Rajagopalan,2
A. Chiu,1
A. Elwalid,1
I. Widjaja,1
X. Xiao,1
D. Grossman,2
A. Doria,5
F. Hellstrand,1
K. Sundell,1
T. Worster,1
B. Srinivasan,1
H. Sjostrand,1
J. Buerkle,1
A. De La Cruz,1
B. Volz,3
J. Bound,1
M. Carney,1
T. Lemon,4
R. Sahita,2
S. Hahn,2
J. Peterson,5
C. Carle,1
S. Zander,2
T. Zseby,6
J. Kempf,2
A. Thyagarajan,1
B. Cain,2
B. Fenner,1
I. Kouvelas,2
S. Deering,1
H. Chaskar,2
M. Eder,1
S. Nag,1
E. Elkin,1
K. Zhang,1
A. Morton,5
G. Grotefeld,1
V. Raisanen,1
B. Foster,1
F. Andreasen,3
D. Meyer,2
R. Bush,1
S. Kelly,2
S. Ramamoorthi,1
G. Tomlinson,1
M. Day,2
P. Rzewski,2
A. Farrel,8
A. Kulkarni,2
D. Rawlins,2
M. Bokaemper,2
J. Saperia,1
M. MacFaden,1
W. Tackabury,1
B. Gage,1
H. Shieh,1
L-N. Hamer,1
J. Wood,1
M. Chandra,1
B. Korver,2
E. Rescorla,1
D. Gilletti,1
D. Dutt,1
K. Ho Chan,1
M. Chiba,4
M. Eklund,2
J. Roese,1
P. Congdon,4
J. Loughney,7
W. Marshall,1
A. Clark,2
R. Caceres,1
T. Friedman,1
H. Khosravi,3
T. Anderson,1
D. Eastlake 3rd,2
K. Carlberg,4
R. Atkinson,4
D. Mulligan,1
J. Cuellar,1
J. Morris,2
J. Polk,3
G. Camarillo,1
E. Blanton,1
J. Luciani,1
M. Brunner,1
H. Levkowetz,2
L. Blunk,1
A. Barbir,3
E. Burger,1
H. Orman,2
R. Chen,1
R. Penno,3
S. McHenry,1
M. Tuexen,2
P. Conrad,1
Q. Xie,1
R. Stewart,1
S. Miyakawa,2
A. Bergstrom,1
II,1
P. Nesser,1
L. Costa,1
R. Vida,1
C. Bormann,1
G. Fairhurst,2
G. Montenegro,1
J. Mahdavi,1
J. Touch,1
L. Wood,1
P. Karn,1
R. Ludwig,1
D. Engert,1
L. Pearlman,1
M. Thompson,1
S. Tuecke,1
V. Welch,1
B. Srinivas,1
M. Hofmann,1
O. Batuner,1
F. Johansson,1
T. Johansson,2
Internet Architecture Board,1
G. Jones,1
B. Claise,14
J. Quittek,5
T. Hardie,1
E. Mannie,1
S. Leinen,1
M. Stapp,1
R. Johnson,1
T. Palaniappan,1
H. Hakala,1
J-P. Koskinen,1
L. Mattila,1
M. Stura,1
D. Stanley,3
J. Walker,2
A. Baudot,1
M. Lind,1
P. Savola,2
S. Park,1
V. Ksinant,1
D. McDysan,1
M. Carugi,1
A. Yegin,7
C. Wang,1
G. Tsirtsis,1
Y. Ohba,10
M. Nakhjiri,5
R. Koodli,6
B. Wijnen,1
R. Austein,1
P. Eronen,10
G. Karagiannis,3
R. Hancock,1
S. Van den Bosch,1
D. Kroeselberg,3
H. Tschofenig,27
M. Garcia-Martin,2
IAB and IESG,1
S. Hollenbeck,1
M. Barnes,1
J.-L. Le Roux,1
J.-P. Vasseur,3
M. Suzuki,1
R. Callon,1
K. Raeburn,1
S. Hartman,10
T. Yu,1
F. Le Faucheur,5
N. Petroni,1
D. Papadimitriou,6
J. Ash,4
J. Drake,1
L. Ong,3
D. Romascanu,3
R. Cole,1
K. Tesink,1
R. Fox,1
A. Gonguet,1
M. Boucadair,9
T. Nadeau,7
Y. El Mghazli,1
H. Haverinen,2
J. Salowey,9
K. Kompella,1
R. Zhang,2
J. Lang,1
M. Dubuc,1
R. Graveman,1
A. Takenouchi,1
T. Yamasaki,1
Y. Shirasaki,1
D. Brungard,1
A. Patel,4
H. Akhtar,2
K. Chowdhury,11
K. Leung,9
M. Khalil,3
F. Adrangi,3
F. Bari,2
V. Lortz,1
J. Mogul,1
S. Bailey,1
T. Talpey,2
D. Oran,2
L. Dusseault,1
E. Rosen,1
A. Lior,7
J. Korhonen,21
D. Allan,2
G. Swallow,1
M. Morrow,2
S. Matsushima,3
J. Rey,1
Y. Matsui,1
J. Vilhuber,1
K. Kamada,1
M. Thomas,1
S. Sakane,1
M. Kulkarni,1
D. Sicker,1
T. Melsen,1
B. Sarikaya,8
D. Loher,1
O. Volinsky,1
B. Sterman,2
D. Sadolevsky,2
D. Schwartz,2
W. Beck,2
G. Giaretta,4
D. Ward,4
J. Sadler,1
S. Shew,1
J.L. Le Roux,1
W. Augustyn,1
Y. Serbest,1
N. Jonnala,2
S. De Cnodder,3
M. Sanchez,2
P. Arberg,2
R. Rennison,1
V. Mammoliti,2
E. Nechamkin,1
J-F. Mule,2
D. King,3
S. Yasukawa,1
J. Bharatia,1
C. Canales-Valenzuela,1
K. Tammi,1
M. Belinchon,1
M. Pallares-Lopez,1
T. Clancy,5
W. Arbaugh,1
F. Bersani,2
M. Kaeo,1
A. Ahmed,1
C. Popoviciu,1
J. Palet,1
S. Asadullah,1
C. Carroll,1
F. Quick,1
J. Heffner,1
M. Mathis,3
E. Kohler,1
A. Hooke,1
H. Weiss,1
K. Fall,1
K. Scott,1
L. Torgerson,1
R. Durst,1
S. Burleigh,1
T. Takeda,2
D. McGrew,2
H. Zhou,3
N. Cam-Winget,2
A. Jonsson,1
E. Fogelstroem,1
F. Dupont,1
V. Devarapalli,7
K. El Malki,1
C. Ng,1
F. Zhao,1
M. Watari,1
P. Thubert,2
P. Bose,1
S. Dawkins,2
X. Li,4
R. Housley,2
RFC Editor,1
L. Vicisano,1
M. Handley,1
T. Speakman,1
D. Ooms,1
N. Feldman,1
R. Boivie,1
W. Livens,1
Y. Imai,1
E. Beili,2
P. Pfautz,1
S. Lind,1
H. Schulzrinne,5
M. Shanmugam,1
T. Taylor,9
A. DeKok,9
A. Pashalidis,1
F. Xia,3
JH. Choi,1
S. Madanapalli,1
T. Melia,2
L. Dondeti,2
V. Narayanan,2
D. Premec,1
M-K. Shin,1
S-E. Kim,1
Y-H. Han,1
D. Forsberg,1
M. Parthasarathy,1
P. Jayaraman,1
R. Lopez,2
G. Ren,1
J. Bi,1
J. Wu,1
K. Xu,1
M. Williams,1
S. Gundavelli,7
D. Simon,2
R. Hurst,1
D. Thaler,3
M. Brenner,1
H. Alvestrand,1
T. Narten,2
L. Martini,2
M. Bocci,3
N. Bitar,3
H. Yokota,3
P. Funk,1
S. Blake-Wilson,1
F. Templin,1
P. Lei,1
T. Dreibholz,1
C. Castelluccia,1
H. Soliman,1
K. ElMalki,1
L. Bellier,1
I. Bryskin,1
M. Montemurro,2
C. Newman,1
R. Gellens,1
D. Sun,2
JL. Le Roux,1
JP. Vasseur,3
J. Bournelle,5
V. Lehtovirta,1
B. Capouch,1
E. Guy,1
F. Miller,1
K. Shumard,1
M. Spencer,1
G. Sadasivan,1
E. Boschi,3
F. Raspall,1
M. Molina,1
N. Duffield,1
S. Niccolini,1
B. Marshall,1
B. McKibben,1
C. Pignataro,6
J. Gibbons,1
P. Howard,1
E. Nordmark,1
M. Bagnulo,1
M. Badra,2
P. Eardley,1
P. Yegani,4
B. Stevant,1
B. Storer,1
J. Tremblay,1
L. Toutain,1
M. Dos Santos,1
F. Parent,2
M. Blanchet,1
B. Berry,1
E. Paradise,1
M. Adams,1
S. Ratliff,1
T. Kaiser,1
M. Jones,5
W. Hardaker,2
G. Weber,2
K. Narayan,2
C. Williams,2
S. Yamamoto,1
J. Rosenberg,3
E. Demaria,1
A. Wagner,2
B. Trammell,5
L. Mark,1
S. Bryant,4
B. Halevy,1
B. Welch,1
J. Zelenka,1
G. Bajko,3
JC. Zuniga,2
N. Golmie,1
S. Das,1
K. Weniger,1
A. Arcia,1
D. Ros,1
J. Iyengar,1
H. Jeon,1
M. Riegel,1
S. Jeong,1
M. Meyer,1
H. Moustafa,1
L. Morand,5
T. Tsou,4
K. Hoeper,4
M. Waehlisch,3
T. Schmidt,3
M. Arumaithurai,1
A. Muhanna,3
U. Meyer,1
J. Hadi Salim,2
J. Halpern,5
L. Dong,1
R. Gopal,1
R. Haas,1
Q. Wu,11
R. Hay,1
W. Turkal,1
A. Johnston,2
D. Petrie,1
R. Mahy,1
R. Sparks,1
M. Platnic,1
N. Voigt,2
S. Ooghe,1
S. Wadhwa,3
T. Haag,3
M. Dolly,1
J. Martocci,1
N. Riou,1
P. De Mil,1
W. Vermeylen,1
D. McDonald,1
T. Kivinen,3
H. Flinck,1
L. Fang,1
D. Frost,2
