Author,RFC_Match_Count
D. Eastlake 3rd,2
F. Hu,1
H. Zhai,1
O. Stokes,1
R. Perlman,2
B. Aboba,1
E. Vyncke,1
K. Chittimaneni,1
L. Howard,1
V. Kuarsingh,1
Y. Pouffary,1
A. Molinaro,1
B. Ohlman,1
D. Corujo,1
G. Boggia,1
G. Tyson,1
K. Pentikousis,1
S. Eum,1
G. Yao,1
J. Bi,1
J. Wu,1
A. Akhter,1
A. Morton,1
M. Bagnulo,1
P. Aitken,1
T. Burbridge,1
J. Davin,1
D. McGrew,1
K. Igoe,1
T. Manderson,1
M. Stenberg,1
S. Barth,1
C. Daboo,1
M. Douglass,1
A. Atlas,2
J. Drake,1
S. Giacalone,1
S. Previdi,1
D. Ward,1
J. Halpern,1
S. Hares,1
T. Nadeau,1
E. Lear,1
E. Zwicky,1
F. Martin,1
K. Andersen,1
T. Draegen,1
J. Levine,1
T. Herkula,1
H. Takagi,1
H. Watanabe,1
K. Maeda,1
T. Hayashi,1
Y. Ioku,1
Y. Oiwa,1
C. Inacio,1
D. Miyamoto,1
B. Rosen,2
H. Flanagan,1
L. Lorenzin,1
D. Dhody,1
D. Lopez,2
O. Gonzalez de Dios,1
Q. Wu,1
L. Dunbar,2
M. Umair,1
Y. Li,1
D. Gillmor,1
S. Dickinson,1
T. Reddy,1
E. Lopez,1
J. Strassner,1
R. Kumar,1
W. Wang,1
P. Pfister,1
T. Lemon,1
I. Young,1
L. Johansson,1
S. Cantor,1
M. Sethi,1
O. Garcia-Morchon,1
F. Palombini,1
G. Selander,1
J. Mattsson,1
L. Seitz,1
J. Bradley,1
M. Jones,1
W. Denniss,1
C. Paasch,1
A. Afanasyev,1
B. Wissingh,1
C. Tschudin,1
C. Wood,1
D. Oran,1
C. Groves,1
D. Benham,1
P. Jones,1
B. Liu,1
C. Bormann,1
M. Behringer,1
S. Bjarnason,1
T. Eckert,1
