Author,RFC_Match_Count
L. Masinter,7
B. Hancock,1
S. Deering,10
G. Vaudreuil,2
B. Boesch,1
M. Yesil,1
G. Waters,1
H. Berkowitz,3
P. Ferguson,1
P. Nesser,2
W. Leland,1
C. Rogers,1
D. Brownell,1
C. Villamizar,4
D. Shur,1
R. Cole,4
S. Carl-Mitchell,1
D. Kandlur,1
D. Zappala,1
J. Robichaux,1
D. Raggett,1
H. Frystyk,3
R. Fielding,7
T. Berners-Lee,5
S. Jackowski,2
P. McMahon,1
G. Meyer,2
E. Nordmark,14
T. Narten,8
J. Woods,1
E. Hoffman,2
F. Ching Liaw,2
G. Minshall,3
P. Newman,2
T. Lyon,2
W. Edwards,2
T. Coradetti,1
I. Castineyra,1
C. Perkins,34
P. Vixie,2
A. Weinrib,2
B. Noble,1
G. Nguyen,1
M. Satyanarayanan,1
R. Katz,1
J. Klensin,16
D. Conrad,3
D. Karrenberg,2
K. Hubbard,1
A. Rubens,5
C. Rigney,7
S. Willens,3
G. Ruth,3
J. Gettys,3
J. Mogul,4
T. Boutell,1
C. Muckenhirn,2
H. Harney,2
H. Esaki,2
K. Nagami,2
Y. Katsube,2
R. Ramanathan,1
C. Apple,1
K. Rossen,1
A. Helmy,2
C. Liu,2
D. Farinacci,5
D. Thaler,16
L. Wei,2
M. Handley,22
P. Sharma,2
D. Mavrakis,1
H. Layec,1
K. Kartmann,1
G. Lyons,1
J. Amweg,1
P. Amsden,1
P. Calato,1
S. Bensley,2
A. Mogi,1
S. Matsuzawa,1
T. Jinmei,3
Y. Shobatake,1
R. Droms,6
J. Max,1
W. Stickle,1
C. Allocchio,1
E. Guttman,5
J. Veizades,1
S. Kaplan,1
D. Bryant,1
P. Brittain,1
D. Blacka,4
J. Singh,1
K. Zeilstra,1
R. Bush,9
R. Elz,1
C. Zhu,1
G. Armitage,2
C. Newman,11
B. Aboba,44
J. Alsop,1
J. Ding,1
J. Lu,1
W. Wang,6
A. Ramos,1
D. Nash,1
S. Berson,2
S. Herzog,5
S. Jamin,1
T. O\'Malley,1
A. Romanow,3
M. O\'Dell,2
J. Wroclawski,9
R. Guerin,3
M. Gahrns,3
P. Leach,3
M. Horowitz,1
S. Lunt,1
B. Wijnen,11
U. Blumenthal,4
R. Presuhn,6
F. Yergeau,2
R. Mandeville,1
M. Thomas,7
W. Stevens,2
A. Mutz,2
K. Holtman,3
D. Wing,13
H. Ohno,2
J. Murai,2
K. Toyoda,4
L. Howard,4
M. Andrews,4
J. Crowcroft,3
L. Peterson,2
S. Floyd,17
B. Ramsdell,5
L. Lundblade,1
L. Repka,1
P. Hoffman,14
S. Dusse,1
B. Kaliski,5
G. Almes,6
J. Mahdavi,4
M. Mathis,6
V. Paxson,5
A. Valencia,2
M. Littlewood,1
T. Kolar,1
