Author,RFC_Match_Count
S. Galperin,2
P. Powell,2
R. Herriot,2
R. deBry,2
S. Isaacson,2
T. Hastings,2
M. Allman,9
S. Ostermann,2
L. Winkler,1
R. Carlson,1
R. Finlayson,2
J. Quittek,18
J. Schoenwaelder,25
B. Aboba,34
J. Vollbrecht,6
M. Day,2
J. Gilchrist,1
L. Masinter,9
M. Eisler,7
P. Nesser II,1
D. Wallner,1
E. Harder,1
R. Agee,1
V. Smyslov,6
A. Lunde,1
S. Hambridge,2
D. Newman,2
B. Greenblatt,2
J. Allen,2
M. Mealling,5
R. Hedberg,2
R. Moats,2
A. Schiffman,1
E. Rescorla,28
A. Valencia,1
B. Palter,1
G. Pall,1
W. Townsley,4
M. Holdrege,8
P. Srisuresh,11
D. Grossman,3
J. Heinanen,2
C. Ellison,2
B. Frantz,1
B. Lampson,1
B. Thomas,9
R. Rivest,1
T. Ylonen,3
A. Keromytis,5
J. Feigenbaum,1
J. Ioannidis,2
M. Blaze,3
D. Simon,3
C. Sharp,1
H. Lin,1
H. Schwarzbauer,1
I. Juhasz,1
I. Rytina,1
L. Coene,2
L. Ong,3
M. Garcia,1
C. Alaettinoglu,2
C. Villamizar,5
D. Meyer,17
J. Zsako,1
B. Fox,1
B. Petri,1
D. Ferguson,2
R. Coltun,4
J. Wray,1
B. Lindell,1
M. Talwar,3
A. Sastry,1
D. Durham,1
J. Boyle,1
R. Cohen,3
R. Rajan,1
P. Ford,3
R. Pabbati,3
R. Yavatkar,4
S. Yadav,2
T. Moore,2
D. Pendarakis,1
R. Guerin,1
M. Kojo,4
N. Vaidya,1
S. Dawkins,11
V. Magret,1
A. Lin,1
B. Gleeson,1
B. Aiken,1
B. Teitelbaum,2
C. Lynch,1
I. Foster,1
J. Mambretti,1
J. Strassner,3
R. Moore,1
R. Govindan,2
R. Zuccherato,4
S. Christey,1
J. Schaad,22
X. Liu,14
S. Ginoza,5
D. Burdett,1
B. Rosen,14
M. Ramalho,5
N. Greene,1
J. Reagle,4
M. Nystrom,10
C. Kalt,2
A. Ghanwani,13
A. Smith,3
J. Pace,1
M. Seaman,1
V. Srinivasan,2
J. Lennox,14
R. Shirey,2
J. Hodges,6
R. Morgan,1
P. Vixie,4
L. Conroy,6
S. Petrack,1
J. Kabat,1
M. Upadhyay,3
D. Connolly,1
J. Padhye,3
S. Floyd,18
D. Leifer,1
I. Goyret,2
J. Shriver,1
M. Kosters,2
R. Plzak,1
Y. Bernet,4
M. Crawford,2
J. Stevens,3
P. Rieth,2
T. Murphy Jr.,2
J. Mahdavi,2
M. Podolsky,1
B. Whetten,1
L. Vicisano,5
M. Luby,9
R. Kermode,1
R. Perlman,21
S. Deering,5
C. de Laat,4
D. Spence,5
G. Gross,6
L. Gommans,4
B. de Bruijn,3
P. Calhoun,12
D. Estrin,1
D. Thaler,38
P. Radoslavov,1
S. Kumar,5
J. Altman,2
T. Ts\'o,2
T. Wu,2
L. Daigle,9
E. Whelan,1
J. Arkko,39
S. Glass,1
S. Jacobs,1
T. Hiller,3
T. Hain,2
E. Felstaine,1
J. Wroclawski,1
M. Speer,1
D. Mitzel,1
T. Killalea,2
D. Kohn,2
M. Murata,1
S. St. Laurent,1
M. Zolotarev,1
P. Sylvester,1
A. Viswanathan,1
R. Callon,3
A. Conta,2
D. Farinacci,14
D. Tappan,5
G. Fedorkow,1
T. Li,16
A. Fredette,1
L. Andersson,26
N. Feldman,2
P. Doolan,1
P. Barzin,1
S. Santesson,14
G. Tomlinson,1
I. Cooper,2
I. Melve,1
R. Draves,5
M. Patrick,1
M. Wildgrube,1
B. Campbell,15
R. Sparks,22
E. Lewis,4
H. Kennedy,1
T. Gavin,1
J. Kempf,11
M. Mostafa,1
R. Kumar,5
W. Nicolls,1
D. Pinkas,8
J. Ross,4
N. Pope,5
B. Patil,10
B. Wolff,1
D. Mitton,5
D. Nelson,6
M. St.Johns,1
M. Stevens,1
S. Barkley,1
M. Thomas,6
J. Border,1
J. Griner,1
Z. Shelby,8
J. Dilley,1
A. Arsenault,1
S. Harris,2
P. Cain,2
C. Lonvick,4
K. Ramakrishnan,3
M. Beadles,1
B. Quinn,1
K. Almeroth,1
R. Hess,1
T. Dean,1
