RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
491,"What is ""Free""?",M.A. Padlipsky,April 1973,UNKNOWN,Legacy,,
493,GRAPHICS PROTOCOL,"D.E. Liddle,E. Meyer,I.W. Cotton,J.C. Michener,K.C. Kelley",April 1973,UNKNOWN,Legacy,,
498,On mail service to CCN,R.T. Braden,April 1973,UNKNOWN,Legacy,,
499,Harvard\'s network RJE,B.R. Reussow,April 1973,UNKNOWN,Legacy,,
501,"Un-muddling ""free file transfer""",K.T. Pogran,May 1973,UNKNOWN,Legacy,,
504,Distributed resources workshop announcement,R. Thomas,April 1973,UNKNOWN,Legacy,,
505,Two solutions to a file transfer access problem,M.A. Padlipsky,June 1973,UNKNOWN,Legacy,,
515,"Specifications for Datalanguage, Version 0/9",R. Winter,June 1973,UNKNOWN,Legacy,,
518,ARPANET accounts,"E.J. Feinler,N. Vaughan",June 1973,UNKNOWN,Legacy,,
520,Memo to FTP group: Proposal for File Access Protocol,J.D. Day,June 1973,UNKNOWN,Legacy,,
524,Proposed Mail Protocol,J.E. White,June 1973,UNKNOWN,Legacy,,
525,MIT-MATHLAB meets UCSB-OLS -an example of resource sharing,"J.R. Pickens,W. Parrish",June 1973,UNKNOWN,Legacy,,
528,Software checksumming in the IMP and network reliability,J.M. McQuillan,June 1973,UNKNOWN,Legacy,,
532,UCSD-CC Server-FTP facility,R.G. Merryman,July 1973,UNKNOWN,Legacy,,
535,Comments on File Access Protocol,R. Thomas,July 1973,UNKNOWN,Legacy,,
542,File Transfer Protocol,N. Neigus,August 1973,UNKNOWN,Legacy,,
550,NIC NCP experiment,L.P. Deutsch,August 1973,UNKNOWN,Legacy,,
555,Responses to critiques of the proposed mail protocol,J.E. White,July 1973,UNKNOWN,Legacy,,
562,Modifications to the TELNET Specification,A.M. McKenzie,August 1973,UNKNOWN,Legacy,,
569,NETED: A Common Editor for the ARPA Network,M.A. Padlipsky,October 1973,HISTORIC,Legacy,,
585,ARPANET users interest working group meeting,"D. Crocker,E.J. Feinler,J. Iseli,N. Neigus",November 1973,UNKNOWN,Legacy,,
588,London Node Is Now Up,A. Stokes,October 1973,UNKNOWN,Legacy,,
592,Some thoughts on system design to facilitate resource sharing,R.W. Watson,November 1973,UNKNOWN,Legacy,,
599,Update on NETRJS,R.T. Braden,December 1973,UNKNOWN,Legacy,,
607,Comments on the File Transfer Protocol,"G. Gregg,M. Krilanovich",January 1974,UNKNOWN,Legacy,,
608,Host names on-line,M.D. Kudlick,January 1974,UNKNOWN,Legacy,,
610,Further datalanguage design concepts,"J. Hill,R. Winter,W. Greiff",December 1973,UNKNOWN,Legacy,,
614,"Response to RFC 607: ""Comments on the File Transfer Protocol""","K.T. Pogran,N. Neigus",January 1974,UNKNOWN,Legacy,,
615,Proposed Network Standard Data Pathname syntax,D. Crocker,March 1974,UNKNOWN,Legacy,,
617,Note on socket number assignment,E.A. Taft,February 1974,UNKNOWN,Legacy,,
623,Comments on on-line host name service,M. Krilanovich,February 1974,UNKNOWN,Legacy,,
624,Comments on the File Transfer Protocol,"G. Gregg,J.E. White,M. Krilanovich,W. Hathaway",February 1974,UNKNOWN,Legacy,,
635,Assessment of ARPANET protocols,V. Cerf,April 1974,UNKNOWN,Legacy,,
640,Revised FTP reply codes,J. Postel,June 1974,UNKNOWN,Legacy,,
645,Network Standard Data Specification syntax,D. Crocker,June 1974,UNKNOWN,Legacy,,
652,Telnet output carriage-return disposition option,D. Crocker,October 1974,HISTORIC,Legacy,,
653,Telnet output horizontal tabstops option,D. Crocker,October 1974,HISTORIC,Legacy,,
654,Telnet output horizontal tab disposition option,D. Crocker,October 1974,HISTORIC,Legacy,,
655,Telnet output formfeed disposition option,D. Crocker,October 1974,HISTORIC,Legacy,,
656,Telnet output vertical tabstops option,D. Crocker,October 1974,HISTORIC,Legacy,,
657,Telnet output vertical tab disposition option,D. Crocker,October 1974,HISTORIC,Legacy,,
658,Telnet output linefeed disposition,D. Crocker,October 1974,HISTORIC,Legacy,,
661,Protocol information,J. Postel,November 1974,UNKNOWN,Legacy,,
666,Specification of the Unified User-Level Protocol,M.A. Padlipsky,November 1974,UNKNOWN,Legacy,,
